Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
194,242,John Henson,C,26,19.4,2.7,5.3,515,0.0,0.0,0.0,2.7,5.3,516,515,1.3,1.8,0.6920000000000001,1.6,3.5,5.1,1.0,0.5,1.3,0.9,2.6,6.8,MIL,58,19.4,26,12.52
195,243,Patrick Patterson,PF,27,24.6,2.4,5.9,401,1.4,3.9,0.3720000000000001,0.9,2.0,458,523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,TOR,65,24.6,42,6.05
197,244,Bobby Portis,PF,21,15.6,2.9,5.9,488,0.5,1.5,333,2.4,4.4,541,531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,30,1.52
198,246,Brandan Wright,PF,29,16.0,3.0,4.8,615,0.0,0.0,0.0,3.0,4.8,619,615,0.8,1.3,657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,MEM,28,16.0,14,5.71
199,247,Alec Burks,SG,25,15.5,2.4,5.9,399,0.6,1.8,329,1.8,4.1,0.43,0.45,1.4,1.9,769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,UTAH,42,15.5,26,10.15
200,250,Devin Harris,PG,33,16.7,2.1,5.2,399,0.9,2.7,328,1.2,2.5,476,484,1.6,2.0,0.8290000000000001,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,6.7,DAL,65,16.7,29,4.23
201,251,Dwight Powell,C,25,17.3,2.5,4.9,515,0.3,1.0,284,2.2,3.9,0.5710000000000001,542,1.4,1.8,759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,DAL,77,17.3,30,8.38
202,253,Jaylen Brown,SF,20,17.2,2.5,5.4,454,0.6,1.7,341,1.9,3.7,507,508,1.1,1.6,685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,50,4.74
203,254,Michael Carter-Williams,PG,25,18.8,2.5,6.8,366,0.3,1.4,234,2.2,5.4,401,391,1.3,1.7,753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,CHI,45,18.8,25,3.18
204,255,Dante Cunningham,SF,29,25.0,2.6,5.4,485,1.1,2.7,392,1.6,2.7,579,584,0.2,0.4,593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,NO,66,25.0,28,2.98
205,256,Kosta Koufos,C,27,20.0,3.0,5.5,551,0.0,0.0,0.0,3.0,5.5,552,551,0.5,0.9,613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6,SAC,71,20.0,27,8.05
206,257,Andre Roberson,SF,25,30.1,2.7,5.9,464,0.6,2.3,245,2.2,3.5,609,513,0.6,1.4,423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6,OKC,79,30.1,46,2.18
207,258,Marcus Thornton,SG,29,17.4,2.5,6.4,0.4,0.8,2.4,0.35,1.7,3.9,431,467,0.7,0.8,852,0.7,1.6,2.3,1.2,0.6,0.1,0.8,1.5,6.6,WSH,33,17.4,15,0.98
208,259,Sam Dekker,SF,22,18.4,2.6,5.6,473,0.8,2.4,321,1.9,3.1,591,0.5429999999999999,0.5,0.9,0.5589999999999999,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5,HOU,77,18.4,52,1.72
209,260,Amir Johnson,PF,29,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,409,2.3,3.8,612,612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,BOS,80,20.1,51,12.0
210,261,Darrell Arthur,PF,28,15.6,2.3,5.2,442,1.3,2.9,453,1.0,2.4,429,565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,DEN,41,15.6,20,8.07
211,262,Timothe Luwawu-Cabarrot,SF,21,17.2,2.1,5.2,402,0.7,2.3,311,1.4,2.9,475,471,1.5,1.8,0.8540000000000001,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,PHI,69,17.2,23,1.39
212,264,Mirza Teletovic,PF,31,16.2,2.2,6.0,373,1.5,4.4,341,0.7,1.6,0.46,498,0.5,0.6,778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,MIL,70,16.2,36,10.5
213,265,Leandro Barbosa,SG,34,14.4,2.6,5.9,439,0.5,1.5,0.35700000000000004,2.0,4.4,466,483,0.6,0.7,889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,PHX,67,14.4,20,4.0
214,266,Mindaugas Kuzminskas,SF,27,14.9,2.3,5.4,428,0.8,2.5,321,1.5,3.0,517,501,0.8,1.0,809,0.7,1.2,1.9,1.0,0.4,0.2,0.8,1.2,6.3,NY,68,14.9,24,2.9
215,267,Kyle O'Quinn,C,26,15.6,2.7,5.2,521,0.0,0.2,118,2.7,5.0,0.5379999999999999,523,0.8,1.1,0.7709999999999999,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3,NY,79,15.6,29,3.92
216,269,Nemanja Bjelica,PF,28,18.3,2.3,5.5,424,0.9,2.7,316,1.5,2.8,531,503,0.7,0.9,738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,MIN,65,18.3,28,3.8
217,270,Dante Exum,PG,21,18.6,2.3,5.5,0.4270000000000001,0.7,2.3,295,1.7,3.2,519,488,0.9,1.1,795,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2,UTAH,66,18.6,40,3.94
218,271,Jonathan Gibson,PG,29,13.6,2.1,5.6,368,0.9,2.6,333,1.2,2.9,0.4,447,1.2,1.7,0.7240000000000001,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,6.2,DAL,17,13.6,4,0.47
219,272,Spencer Hawes,PF,28,14.8,2.5,5.1,484,0.5,1.5,309,2.0,3.6,556,529,0.8,1.0,846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,MIL/CHA,54,14.8,27,6.35
220,273,Trey Lyles,PF,21,16.3,2.2,6.2,362,0.9,2.9,319,1.3,3.3,0.4,436,0.8,1.1,722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2,UTAH,71,16.3,43,2.34
221,275,Chandler Parsons,SF,28,19.9,2.2,6.5,338,0.7,2.7,269,1.5,3.8,388,394,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,MEM,34,19.9,18,22.12
222,276,Ramon Sessions,PG,30,16.2,2.0,5.3,0.38,0.4,1.2,339,1.6,4.0,393,0.42,1.8,2.4,0.7709999999999999,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,CHA,50,16.2,23,6.0
223,278,Troy Williams,SF,22,18.6,2.4,5.6,0.4370000000000001,0.6,2.1,0.29,1.8,3.5,524,491,0.7,1.1,0.6559999999999999,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2.0,6.2,HOU/MEM,30,18.6,19,1.58
224,279,Luc Mbah a Moute,SF,30,22.3,2.4,4.7,505,0.5,1.4,391,1.9,3.4,552,562,0.7,1.1,0.6779999999999999,0.6,1.6,2.1,0.5,1.0,0.4,0.6,1.5,6.1,LAC,80,22.3,49,2.2
225,280,JaVale McGee,C,29,9.6,2.7,4.1,652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,652,0.7,1.4,505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,GS,77,9.6,62,1.4
226,284,Alex Abrines,SG,23,15.5,2.0,5.0,393,1.4,3.6,381,0.6,1.4,426,531,0.6,0.7,898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,OKC,68,15.5,37,5.99
227,285,Bismack Biyombo,C,24,22.1,2.2,4.2,528,0.0,0.0,,2.2,4.2,528,528,1.5,2.9,534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,ORL,81,22.1,29,17.0
228,288,Lance Thomas,PF,28,21.0,2.1,5.3,398,0.8,1.8,447,1.3,3.5,371,475,0.9,1.1,843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,NY,46,21.0,15,6.19
229,289,Jerian Grant,PG,24,16.3,2.0,4.8,425,0.8,2.1,366,1.3,2.7,473,507,1.0,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,CHI,63,16.3,29,1.64
230,290,Andrew Harrison,PG,22,20.5,1.6,5.0,325,0.6,2.2,276,1.0,2.8,363,385,2.1,2.7,763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,MEM,72,20.5,38,1.31
231,291,Domantas Sabonis,PF,20,20.1,2.4,5.9,399,0.6,2.0,321,1.7,4.0,438,452,0.5,0.8,657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,OKC,81,20.1,46,2.44
232,292,Quincy Acy,PF,26,14.7,1.8,4.5,412,1.0,2.4,411,0.9,2.1,413,521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,DAL/BKN,38,14.7,11,1.79
233,294,Tarik Black,C,25,16.3,2.2,4.4,0.51,0.0,0.0,0.5,2.2,4.4,0.51,512,1.2,1.6,752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7,LAL,67,16.3,24,6.19
234,296,Jason Smith,C,30,14.4,2.4,4.4,529,0.5,1.1,474,1.9,3.4,546,585,0.5,0.7,0.6859999999999999,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,WSH,74,14.4,45,5.0
235,301,Ian Mahinmi,C,30,17.9,2.1,3.6,586,0.0,0.0,,2.1,3.6,586,586,1.4,2.4,573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,WSH,31,17.9,19,15.94
236,302,Georgios Papagiannis,C,19,16.1,2.5,4.6,0.5489999999999999,0.0,0.1,0.0,2.5,4.5,0.56,0.5489999999999999,0.5,0.6,857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6,SAC,22,16.1,7,2.2
237,303,Delon Wright,PG,24,16.5,1.8,4.3,422,0.4,1.1,333,1.4,3.2,453,466,1.6,2.0,764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,TOR,27,16.5,19,1.58
238,305,Boban Marjanovic,C,28,8.4,2.1,3.8,545,0.0,0.0,,2.1,3.8,545,545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,DET,35,8.4,16,7.0
239,306,Anthony Morrow,SG,31,14.6,2.0,5.1,389,0.8,2.7,308,1.2,2.4,479,0.47,0.7,0.8,919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,CHI/OKC,49,14.6,25,3.49
240,307,Terry Rozier,PG,22,17.1,2.0,5.6,0.3670000000000001,0.8,2.4,318,1.3,3.1,405,0.4370000000000001,0.7,0.9,773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,BOS,74,17.1,47,1.91
241,309,Malcolm Delaney,PG,27,17.1,2.0,5.3,374,0.4,1.5,236,1.6,3.8,428,407,1.0,1.3,0.8059999999999999,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,5.4,ATL,73,17.1,37,2.5
242,310,Joffrey Lauvergne,PF-C,25,14.0,2.1,4.8,0.44,0.5,1.4,337,1.6,3.4,483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,CHI/OKC,70,14.0,41,1.71
243,310,Joffrey Lauvergne,PF-C,25,14.0,2.1,4.8,0.44,0.5,1.4,337,1.6,3.4,483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,CHI/OKC,70,14.0,41,1.52
244,311,Meyers Leonard,PF,24,16.5,2.0,5.1,386,1.0,2.9,0.34700000000000003,1.0,2.2,436,484,0.5,0.5,875,0.4,2.8,3.2,1.0,0.2,0.4,0.5,2.3,5.4,POR,74,16.5,37,9.21
245,312,Alexis Ajinca,C,28,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,511,0.5,0.7,1.0,725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,NO,39,15.0,15,4.64
246,314,Chasson Randle,PG,23,11.5,1.5,3.8,408,0.6,1.8,0.34,0.9,2.0,471,0.49,1.6,1.7,953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3,NY/PHI,26,11.5,8,1.31
247,317,Mike Dunleavy,SF,36,15.9,1.8,4.2,423,1.0,2.5,396,0.8,1.6,465,0.5429999999999999,0.7,0.8,0.8,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2,ATL/CLE,53,15.9,34,4.84
248,318,Randy Foye,SG,33,18.6,1.7,4.7,363,1.0,2.9,0.33,0.7,1.8,418,466,0.8,0.9,857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,BKN,69,18.6,17,2.5
249,319,Cameron Payne,PG,22,14.9,2.1,6.2,332,0.9,2.8,314,1.2,3.5,0.34600000000000003,402,0.2,0.3,625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,CHI/OKC,31,14.9,16,2.11
250,320,Dewayne Dedmon,C,27,17.5,2.1,3.4,622,0.0,0.0,,2.1,3.4,622,622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,SA,76,17.5,55,2.9
251,322,Shaun Livingston,PG,31,17.7,2.3,4.2,547,0.0,0.0,333,2.3,4.1,0.55,0.5489999999999999,0.6,0.8,0.7,0.4,1.6,2.0,1.8,0.5,0.3,0.8,1.6,5.1,GS,76,17.7,63,5.78
252,323,Luis Scola,PF,36,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,535,526,0.7,1.0,0.6759999999999999,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1,BKN,36,12.8,7,5.5
253,324,Wayne Selden,SG,22,16.9,1.8,4.1,431,0.5,2.0,0.25,1.3,2.1,0.6,491,1.0,1.6,636,0.1,1.1,1.1,0.9,0.4,0.1,0.9,1.3,5.1,NO/MEM,14,16.9,6,1.31
254,326,Denzel Valentine,SG,23,17.1,1.8,5.1,354,1.3,3.6,0.35100000000000003,0.5,1.4,363,481,0.2,0.3,778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,CHI,57,17.1,28,2.09
255,327,Anthony Bennett,PF,23,11.5,1.7,4.0,413,0.6,2.1,271,1.1,1.9,568,484,1.1,1.6,722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0,BKN,23,11.5,3,1.02
256,328,Aaron Brooks,PG,32,13.8,1.9,4.6,403,0.7,2.0,375,1.1,2.6,424,483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,IND,65,13.8,36,2.7
257,329,Trey Burke,PG,24,12.3,2.0,4.5,455,0.5,1.2,443,1.5,3.2,459,516,0.4,0.5,759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0,WSH,57,12.3,35,3.39
258,330,Joakim Noah,C,31,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,493,0.49,0.7,1.7,436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,NY,46,22.1,17,17.0
259,332,Aron Baynes,C,30,15.5,1.9,3.7,513,0.0,0.0,,1.9,3.7,513,513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9,DET,75,15.5,34,6.5
260,334,Juan Hernangomez,PF,21,13.6,1.6,3.6,451,0.7,1.8,407,0.9,1.8,495,0.5539999999999999,0.9,1.2,0.75,0.7,2.3,3.0,0.5,0.5,0.2,0.5,1.0,4.9,DEN,62,13.6,30,1.99
261,335,Mario Hezonja,SF,21,14.8,1.8,5.1,355,0.7,2.2,299,1.1,2.9,398,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1.0,0.5,0.2,0.9,1.1,4.9,ORL,65,14.8,20,3.91
262,336,Josh McRoberts,PF,29,17.3,2.0,5.4,373,0.6,1.4,419,1.4,4.0,0.35600000000000004,428,0.3,0.4,667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9,MIA,22,17.3,6,5.78
263,337,Tiago Splitter,C,32,9.5,1.8,3.9,452,0.3,0.8,333,1.5,3.1,0.48,484,1.1,1.4,818,1.0,1.8,2.8,0.5,0.1,0.1,0.8,1.0,4.9,PHI,8,9.5,1,8.55
264,339,Jarell Eddie,SF,25,12.4,1.2,3.8,316,0.8,3.2,0.25,0.4,0.6,667,421,1.6,1.8,889,0.2,1.2,1.4,0.0,0.2,0.0,0.2,0.2,4.8,PHX,5,12.4,0,0.06
265,341,Kevin Seraphin,PF,27,11.4,2.2,4.0,551,0.0,0.0,0.0,2.2,4.0,556,551,0.3,0.4,636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,IND,49,11.4,23,1.8
266,342,Isaiah Canaan,SG,25,15.2,1.6,4.4,364,0.6,2.4,266,1.0,2.0,481,436,0.8,0.8,909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,CHI,39,15.2,19,1.02
267,343,Boris Diaw,PF,34,17.6,2.0,4.5,446,0.3,1.1,247,1.7,3.4,512,477,0.4,0.5,743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,UTAH,73,17.6,45,7.0
268,344,Roy Hibbert,C,30,14.2,1.7,3.1,544,0.0,0.0,,1.7,3.1,544,544,1.3,1.6,813,1.1,2.0,3.2,0.4,0.2,1.0,0.7,2.1,4.6,DEN/CHA,48,14.2,24,5.0
269,345,Kris Humphries,PF,31,12.3,1.6,3.8,407,0.3,1.0,0.35200000000000004,1.2,2.9,425,451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,ATL,56,12.3,31,4.0
270,348,Corey Brewer,SF,30,15.6,1.8,4.2,422,0.3,1.4,229,1.5,2.8,522,461,0.6,0.8,735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,HOU/LAL,82,15.6,47,7.61
271,349,Reggie Bullock,SF,25,15.1,1.7,4.1,422,0.9,2.4,384,0.8,1.8,473,531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,DET,31,15.1,13,2.26
272,352,Pierre Jackson,PG,25,10.5,1.6,4.9,333,0.4,1.4,273,1.3,3.5,0.35700000000000004,0.3720000000000001,0.8,0.9,857,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,DAL,8,10.5,4,0.03
273,353,Stanley Johnson,SF,20,17.8,1.7,4.7,353,0.6,2.0,292,1.1,2.7,398,415,0.5,0.7,679,0.5,2.0,2.5,1.4,0.7,0.3,0.9,1.6,4.4,DET,77,17.8,35,2.97
274,356,Lucas Nogueira,C,24,19.1,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.6940000000000001,0.67,0.8,1.2,657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4,TOR,57,19.1,34,1.92
275,358,Noah Vonleh,PF,21,17.1,1.8,3.6,481,0.1,0.3,0.35,1.7,3.4,0.4920000000000001,494,0.8,1.3,638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,POR,74,17.1,38,2.75
276,359,Ed Davis,PF,27,17.2,1.6,3.1,528,0.0,0.0,,1.6,3.1,528,528,1.1,1.8,617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3,POR,46,17.2,19,6.67
277,360,Tyler Ennis,PG,22,11.1,1.7,3.9,433,0.5,1.3,386,1.2,2.6,457,498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0.0,0.8,1.1,4.3,HOU/LAL,53,11.1,28,1.73
278,363,Brandon Rush,SG,31,21.9,1.5,4.0,374,0.9,2.4,386,0.6,1.6,0.35600000000000004,0.4920000000000001,0.3,0.4,722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2,MIN,47,21.9,15,3.5
279,370,Thon Maker,C,19,9.9,1.5,3.2,459,0.5,1.3,378,1.0,1.9,514,536,0.6,0.9,653,0.7,1.3,2.0,0.4,0.2,0.5,0.3,1.5,4.0,MIL,57,9.9,31,2.57
280,373,Anthony Brown,SF,24,14.5,1.6,4.5,0.36,0.6,2.5,259,1.0,2.1,478,0.43,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9,NO/ORL,11,14.5,3,0.06
281,374,Jarell Martin,PF,22,13.3,1.4,3.6,384,0.2,0.6,0.36,1.2,3.0,389,414,1.0,1.2,0.8,1.0,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,MEM,42,13.3,23,1.47
282,375,Malik Beasley,SG,20,7.5,1.5,3.3,452,0.4,1.3,321,1.1,2.0,0.5329999999999999,514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8,DEN,22,7.5,12,1.63
283,376,Kris Dunn,PG,22,17.1,1.5,4.0,377,0.3,0.9,0.28800000000000003,1.2,3.1,404,411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8,MIN,78,17.1,30,3.87
284,377,Jonas Jerebko,PF,29,15.8,1.5,3.4,435,0.6,1.7,0.34600000000000003,0.9,1.7,523,521,0.3,0.5,703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,BOS,78,15.8,51,5.0
285,378,Malachi Richardson,SG,21,9.0,1.3,3.1,412,0.4,1.3,0.28600000000000003,0.9,1.8,0.5,471,0.7,0.9,789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6,SAC,22,9.0,9,1.44
286,378,Malachi Richardson,SG,21,9.0,1.3,3.1,412,0.4,1.3,0.28600000000000003,0.9,1.8,0.5,471,0.7,0.9,789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6,SAC,22,9.0,9,1.5
287,379,Tyus Jones,PG,20,12.9,1.3,3.0,414,0.4,1.2,0.35600000000000004,0.8,1.8,454,486,0.6,0.7,767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5,MIN,60,12.9,23,1.47
288,381,Adreian Payne,PF,25,7.5,1.3,3.0,426,0.2,0.8,0.2,1.1,2.2,513,454,0.8,1.1,737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,MIN,18,7.5,5,2.02
289,383,Rashad Vaughn,SG,20,11.2,1.4,3.8,365,0.6,2.0,321,0.8,1.8,413,449,0.0,0.1,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,MIL,41,11.2,18,1.81
290,384,Tyler Zeller,C,27,10.3,1.5,3.1,494,0.0,0.0,0.0,1.5,3.1,0.4970000000000001,494,0.4,0.8,564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,BOS,51,10.3,32,8.0
291,386,Dragan Bender,PF,19,13.3,1.3,3.7,354,0.7,2.3,277,0.7,1.4,483,441,0.1,0.3,364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,PHX,43,13.3,13,4.28
292,388,Dejounte Murray,PG,20,8.5,1.3,3.1,431,0.2,0.6,391,1.1,2.4,441,0.47,0.6,0.8,0.7,0.2,0.9,1.1,1.3,0.2,0.2,1.0,0.8,3.4,SA,38,8.5,29,1.31
293,389,Jared Sullinger,PF,24,10.7,1.4,4.3,319,0.3,1.6,0.16699999999999998,1.1,2.6,414,0.35100000000000003,0.4,0.7,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,TOR,11,10.7,2,5.63
294,395,Henry Ellenson,PF,20,7.7,1.2,3.4,359,0.5,1.8,0.28600000000000003,0.7,1.5,448,438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,DET,19,7.7,8,1.7
295,396,Paul Pierce,SF,39,11.1,1.1,2.8,0.4,0.6,1.7,349,0.5,1.1,481,507,0.4,0.5,769,0.0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,LAC,25,11.1,16,3.53
296,397,Maurice Ndour,PF,24,10.3,1.2,2.7,453,0.0,0.2,0.14300000000000002,1.2,2.5,481,459,0.6,0.8,731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,3.1,NY,32,10.3,10,0.54
297,398,Jakob Poeltl,C,21,11.6,1.2,2.1,583,0.0,0.0,,1.2,2.1,583,583,0.6,1.1,544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,TOR,54,11.6,38,2.7
298,399,Briante Weber,PG,24,10.3,1.3,3.0,417,0.1,0.5,0.1,1.2,2.5,0.48,425,0.6,0.8,688,0.4,0.9,1.3,1.1,0.6,0.1,0.4,0.8,3.1,GS/CHA,20,10.3,12,1.47
299,400,Jarrett Jack,PG,33,16.5,1.0,1.5,667,0.0,0.5,0.0,1.0,1.0,1.0,667,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,1.5,2.0,3.0,NO,2,16.5,1,0.06
300,405,Andrew Bogut,C,32,21.6,1.4,3.0,469,0.0,0.0,0.0,1.4,3.0,475,469,0.1,0.4,273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9,CLE/DAL,27,21.6,8,0.24
301,408,Fred VanVleet,PG,22,7.9,1.1,3.0,0.35100000000000003,0.3,0.8,379,0.8,2.2,341,401,0.5,0.6,818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9,TOR,37,7.9,25,1.31
302,415,Kyle Singler,SF,28,12.0,1.1,2.6,0.41,0.2,1.2,189,0.8,1.4,0.5870000000000001,452,0.4,0.5,765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,OKC,32,12.0,15,4.84
303,418,Omer Asik,C,30,15.5,1.0,2.1,477,0.0,0.0,,1.0,2.1,477,477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,NO,31,15.5,12,9.9
304,419,DeAndre' Bembry,SF,22,9.8,1.2,2.6,0.48,0.0,0.5,56,1.2,2.1,575,485,0.2,0.4,375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,ATL,38,9.8,20,1.5
305,419,DeAndre' Bembry,SF,22,9.8,1.2,2.6,0.48,0.0,0.5,56,1.2,2.1,575,485,0.2,0.4,375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,ATL,38,9.8,20,1.57
306,420,Marcelo Huertas,PG,33,10.3,1.1,3.0,368,0.2,0.8,211,0.9,2.1,429,397,0.4,0.7,529,0.1,1.0,1.0,2.3,0.4,0.1,0.8,0.7,2.7,LAL,23,10.3,5,1.5
307,420,Marcelo Huertas,PG,33,10.3,1.1,3.0,368,0.2,0.8,211,0.9,2.1,429,397,0.4,0.7,529,0.1,1.0,1.0,2.3,0.4,0.1,0.8,0.7,2.7,LAL,23,10.3,5,1.5
308,421,Wesley Johnson,SF,29,11.9,1.1,2.9,365,0.4,1.7,246,0.6,1.2,537,438,0.2,0.3,647,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,LAC,68,11.9,40,5.63
