Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
106,124,Justise Winslow,SF,20,34.7,4.4,12.5,0.35600000000000004,0.4,1.9,0.2,4.1,10.6,384,371,1.6,2.6,617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,MIA,18,34.7,4,2.59
107,125,Taj Gibson,PF,31,25.5,4.7,9.1,515,0.0,0.2,231,4.6,8.9,0.52,517,1.4,2.0,715,2.0,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,CHI/OKC,78,25.5,41,8.95
108,126,Marcin Gortat,C,32,31.2,4.8,8.2,579,0.0,0.0,0.0,4.8,8.2,0.58,579,1.3,1.9,648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,WSH,82,31.2,49,12.0
109,128,Courtney Lee,SG,31,31.9,4.2,9.1,456,1.4,3.5,401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,NY,77,31.9,29,11.24
110,129,Allen Crabbe,SG,24,28.5,3.8,8.2,468,1.7,3.8,444,2.1,4.4,0.49,0.5720000000000001,1.3,1.6,847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,POR,79,28.5,39,18.5
111,132,Buddy Hield,SG,23,23.0,4.0,9.4,426,1.8,4.6,391,2.2,4.7,461,523,0.8,0.9,0.8420000000000001,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,NO/SAC,82,23.0,31,3.52
112,133,Nikola Mirotic,PF,25,24.0,3.7,8.9,413,1.8,5.4,342,1.8,3.5,0.52,516,1.4,1.8,773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,CHI,70,24.0,37,5.78
113,134,Marcus Smart,SG,22,30.4,3.4,9.5,359,1.2,4.2,0.28300000000000003,2.2,5.3,0.42,422,2.6,3.2,812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,BOS,79,30.4,51,3.58
114,135,Marco Belinelli,SG,30,24.0,3.6,8.3,429,1.4,3.8,0.36,2.2,4.5,488,512,2.0,2.3,893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,CHA,74,24.0,34,6.33
115,136,Wayne Ellington,SG,29,24.2,3.7,9.0,416,2.4,6.4,378,1.3,2.6,509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,MIA,62,24.2,35,6.0
116,137,Robin Lopez,C,28,28.0,4.7,9.6,493,0.0,0.0,0.0,4.7,9.5,494,493,0.9,1.3,721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,CHI,81,28.0,40,13.22
117,138,Mason Plumlee,C,26,26.5,4.1,7.7,536,0.0,0.1,0.0,4.1,7.6,541,536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4,DEN/POR,81,26.5,38,2.33
118,139,Tyreke Evans,SF,27,19.7,3.8,9.3,405,1.1,3.0,0.35600000000000004,2.7,6.3,429,462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,NO/SAC,40,19.7,17,10.2
119,140,Cody Zeller,PF,24,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,4.1,7.1,0.5720000000000001,0.5710000000000001,2.1,3.2,679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,CHA,62,27.8,33,5.32
120,142,Draymond Green,PF,26,32.5,3.6,8.6,418,1.1,3.5,308,2.5,5.1,494,481,2.0,2.8,0.7090000000000001,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,GS,76,32.5,62,15.33
121,143,Jon Leuer,PF,27,25.9,4.1,8.6,0.48,0.7,2.2,293,3.5,6.4,545,518,1.3,1.5,867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,DET,75,25.9,34,10.99
122,144,Jusuf Nurkic,C,22,21.4,4.2,8.2,507,0.0,0.0,0.0,4.2,8.2,508,507,1.8,3.2,0.5710000000000001,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2,DEN/POR,65,21.4,34,1.92
123,145,Josh Richardson,SG,23,30.5,3.8,9.7,394,1.4,4.3,0.33,2.4,5.4,444,467,1.1,1.5,779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,MIA,53,30.5,23,1.47
124,146,Kyle Korver,SG,35,26.2,3.6,7.7,464,2.4,5.4,451,1.1,2.3,494,621,0.6,0.6,905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,ATL/CLE,67,26.2,33,5.24
125,147,Tony Parker,PG,34,25.2,4.2,9.0,466,0.4,1.1,333,3.8,7.9,484,486,1.3,1.9,726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1,SA,63,25.2,46,14.45
126,148,Trevor Booker,PF,29,24.7,4.3,8.3,516,0.4,1.1,321,3.9,7.2,546,537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,BKN,71,24.7,18,9.25
127,149,Gorgui Dieng,PF,27,32.4,4.0,8.1,502,0.2,0.5,0.3720000000000001,3.9,7.5,511,514,1.7,2.0,0.8140000000000001,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0,MIN,82,32.4,31,2.35
128,151,Maurice Harkless,SF,23,28.9,4.1,8.1,503,0.9,2.5,0.35100000000000003,3.2,5.6,0.5720000000000001,0.5579999999999999,1.0,1.6,621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0,POR,77,28.9,38,8.99
129,153,Shabazz Muhammad,SF,24,19.4,3.7,7.7,482,0.6,1.9,338,3.1,5.8,528,523,1.9,2.4,774,1.1,1.7,2.8,0.4,0.3,0.1,0.7,1.1,9.9,MIN,78,19.4,29,3.05
130,154,Jamal Murray,SG,19,21.5,3.6,8.9,404,1.4,4.2,334,2.2,4.7,466,483,1.3,1.5,883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,DEN,82,21.5,40,3.21
131,156,Jeremy Lamb,SG,24,18.4,3.6,7.9,0.46,0.7,2.4,281,3.0,5.6,536,502,1.8,2.1,853,0.5,3.8,4.3,1.2,0.4,0.4,0.6,1.6,9.7,CHA,62,18.4,27,6.51
132,157,Kenneth Faried,PF,27,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,3.7,6.7,556,0.5479999999999999,2.1,3.1,693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,9.6,DEN,61,21.2,29,12.08
133,158,E'Twaun Moore,SG,27,24.9,3.9,8.5,457,1.1,2.8,0.37,2.8,5.6,501,519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,NO,73,24.9,32,8.08
134,160,Derrick Favors,PF,25,23.7,4.1,8.3,487,0.1,0.2,0.3,4.0,8.1,491,0.49,1.3,2.2,615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,UTAH,50,23.7,33,11.05
135,161,Patty Mills,PG,28,21.9,3.4,7.8,0.44,1.8,4.4,414,1.6,3.3,474,0.5579999999999999,0.8,1.0,825,0.3,1.5,1.8,3.5,0.8,0.0,1.3,1.4,9.5,SA,80,21.9,60,3.58
